URL,Company,tagline,Website,Twitter,Facebook,Linkedin,Location,Company Size,Markets,Founders or People
https://angel.co/company/global-hemp-alliance,Global Hemp Alliance,Free Release Processing,http://globalhempalliance.com/,,,,Moultrie,1-10 people,Marijuana,
,,,,,,,,,,
https://angel.co/company/neprc,NEPRC,21 plus cannabis grow MA,TheNEPRC.com,,,,"Providence
Uxbridge",1-10 people,,Anthony Patti
https://angel.co/company/hempothic,Hempothic,Mobile Scientific Hemp Services,hempothic.com,,,,"Salisbury
Maryland",1-10 people,MarijuanaSpecialty ChemicalsPharmaceuticalsHealth and Wellness,Robert W Figliozzi
https://angel.co/company/spectrum-cannalabs,Spectrum CannaLabs,Pharmaceutical-Grade Testing for Cannabis,spectrumcl.com,,,,Davis,1-10 people,MarijuanaCertification TestTechnology,Carlos Balagot
https://angel.co/company/veil-4,Veil,Odor-elimination Spray for the Modern Cannabis User,smellveil.com,,,,Brooklyn,1-10 people,MarijuanaE-CommerceLifestyle ProductsConsumer Goods,Noah Kotlove
https://angel.co/company/cannabis-hemp-innovation-centre,Cannabis & Hemp Innovation Centre,Innovation centre and business accelerator,chic-inc.io,,,https://www.linkedin.com/company/cannabis-hemp-incubator-campus-chic-inc/?viewAsMember=true,"Vegreville
Edmonton
Alberta",1-10 people,"Marijuana
Value Added Services
App Acceleration
Market Research
Product Design
New Product Development","Mike Salvatore, Travis Dahl"
https://angel.co/company/high-growth-holdings,HIGH GROWTH HOLDINGS,not your average marijuana company,http://www.highgrowhholdings.com/,https://twitter.com/HGHoldingsInc,https://www.facebook.com/HighGrowthHoldings,,Toronto,1-10 people,MarijuanaFin TechBlockchainsBio-Pharm,Erika Jones
https://angel.co/company/thcoin,THCoin,420 blockchain solutions,highgrowthholdings.com/tokin,,,,Toronto,1-10 people,"Blockchains
Marijuana
Blockchain / Cryptocurrency
Fin Tech
Financial Technology",Erika Jones
https://angel.co/company/3buds,3BUDS,High Quality CBD/Hemp,3budsllc.com,,,https://www.linkedin.com/company/3buds,Scranton,1-10 people,Marijuana,Hunter Smetana
https://angel.co/company/sqan-technologies,Sqan Technologies,THE Marijuana Payment Solution,atmosbank.com,,,,Los Angeles,1-10 people,Mobile PaymentsPoint of SaleInventory And Sales ManagementMarijuana,Samuel Troyer
https://angel.co/company/aspct,Aspct,personalized cannabis recommendations,myaspct.com,,,,Columbus,1-10 people,Medical Marijuana DispensariesHealthcareBig Data AnalyticsMarijuana,
https://angel.co/company/verima,Verima,premium hemp products designed for moms,tryverima.com,,https://www.facebook.com/tryverima/,https://www.linkedin.com/company/51607766/admin/,Palo Alto,1-10 people,E-CommerceMomWomen-FocusedMarijuana,Reed Berglund
https://angel.co/company/nfuzed,NFuzed,Lowest cost cannabis edibles and first mover advantage with cannabis inhaler,nfuzed.com,,https://www.facebook.com/nfuzedbrands/,https://www.linkedin.com/in/n-fuzed/,Grover Beach and Boulder,11-50 people,Marijuana EdiblesMarijuana,Mark Hartwig
https://angel.co/company/herb-olive,Herb & Olive,Full Spectrum CBD and Tableside Olive Oil,herb-olive.com,,,https://www.linkedin.com/company/40761540/,Los Angeles and Portland,1-10 people,MarijuanaConsumer GoodsFood and BeveragesHealth and Wellness,David Zimmerman
https://angel.co/company/viente-management,Viente Management,Celebrity endorsements,vientemanagement.com,,,,Las Vegas,1-10 people,Medical Marijuana DispensariesMarijuana,Tommie Pimentel
