fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,627846.com,34.73.153.7,,alt1.aspmx.l.google.com,ns-cloud-e1.googledomains.com,,,,
Addition,627846a.com,,,,,,,,
Addition,627846b.com,,,,,,,,
Addition,627846c.com,,,,,,,,
Addition,627846d.com,,,,,,,,
Addition,627846e.com,,,,,,,,
Addition,627846f.com,,,,,,,,
Addition,627846g.com,,,,,,,,
Addition,627846h.com,,,,,,,,
Addition,627846i.com,,,,,,,,
Addition,627846j.com,,,,,,,,
Addition,627846k.com,,,,,,,,
Addition,627846l.com,,,,,,,,
Addition,627846m.com,,,,,,,,
Addition,627846n.com,,,,,,,,
Addition,627846o.com,,,,,,,,
Addition,627846p.com,,,,,,,,
Addition,627846q.com,,,,,,,,
Addition,627846r.com,,,,,,,,
Addition,627846s.com,,,,,,,,
Addition,627846t.com,,,,,,,,
Addition,627846u.com,,,,,,,,
Addition,627846v.com,,,,,,,,
Addition,627846w.com,,,,,,,,
Addition,627846x.com,,,,,,,,
Addition,627846y.com,,,,,,,,
Addition,627846z.com,,,,,,,,
Bitsquatting,727846.com,,,,,,,,
Bitsquatting,427846.com,,,,,,,,
Bitsquatting,227846.com,45.204.25.77,,,ns53.domaincontrol.com,,,,
Bitsquatting,v27846.com,,,,,,,,
Bitsquatting,637846.com,,,,,,,,
Bitsquatting,607846.com,103.229.224.104,,,ns1.dns.com,,,,
Bitsquatting,667846.com,,,,,,,,
Bitsquatting,6r7846.com,,,,,,,,
Bitsquatting,626846.com,198.44.253.209,,,jm1.dns.com,,,,
Bitsquatting,625846.com,,,,,,,,
Bitsquatting,623846.com,,,,,,,,
Bitsquatting,62w846.com,,,,,,,,
Bitsquatting,627946.com,,,,,,,,
Bitsquatting,627046.com,154.216.17.251,,,ns77.domaincontrol.com,,,,
Bitsquatting,627x46.com,,,,,,,,
Bitsquatting,627856.com,,,,dns29.hichina.com,,,,
Bitsquatting,627866.com,,,,,,,,
Bitsquatting,627806.com,47.75.18.1,,,dns10.hichina.com,,,,
Bitsquatting,6278t6.com,,,,,,,,
Bitsquatting,627847.com,,,,,,,,
Bitsquatting,627844.com,104.24.120.80,,,hank.ns.cloudflare.com,,,,
Bitsquatting,627842.com,,,,,,,,
Bitsquatting,62784v.com,,,,,,,,
Hyphenation,6-27846.com,,,,,,,,
Hyphenation,62-7846.com,,,,,,,,
Hyphenation,627-846.com,,,,,,,,
Hyphenation,6278-46.com,,,,,,,,
Hyphenation,62784-6.com,,,,,,,,
Insertion,62a7846.com,,,,,,,,
Insertion,6z27846.com,,,,,,,,
Insertion,6278i46.com,,,,,,,,
Insertion,6276846.com,,,,,,,,
Insertion,6w27846.com,,,,,,,,
Insertion,6278346.com,,,,,,,,
Insertion,6217846.com,,,,,,,,
Insertion,6327846.com,,,,,,,,
Insertion,627z846.com,,,,,,,,
Insertion,627y846.com,,,,,,,,
Insertion,6278456.com,,,,,,,,
Insertion,6278r46.com,,,,,,,,
Insertion,6278546.com,,,,,,,,
Insertion,62u7846.com,,,,,,,,
Insertion,6278e46.com,,,,,,,,
Insertion,6287846.com,,,,,,,,
Insertion,62w7846.com,,,,,,,,
Insertion,62z7846.com,,,,,,,,
Insertion,6278746.com,,,,,,,,
Insertion,6267846.com,,,,,,,,
Insertion,62784r6.com,,,,,,,,
Insertion,6127846.com,,,,,,,,
Insertion,6278946.com,,,,,,,,
Insertion,6237846.com,,,,,,,,
Insertion,62q7846.com,,,,,,,,
Insertion,62y7846.com,,,,,,,,
Insertion,627u846.com,,,,,,,,
Insertion,62784e6.com,,,,,,,,
Insertion,6277846.com,,,,,,,,
Insertion,6a27846.com,,,,,,,,
Insertion,6278846.com,,,,,,,,
Insertion,6278u46.com,,,,,,,,
Insertion,6279846.com,,,,,,,,
Insertion,627i846.com,,,,,,,,
Insertion,6278436.com,,,,,,,,
Insertion,6q27846.com,,,,,,,,
Omission,62846.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,,,,
Omission,27846.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,,,,
Omission,62786.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,,,,
Omission,62746.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,,,,
Omission,62784.com,150.109.65.242,,,,,,,
Omission,67846.com,45.43.35.96,,,ns3.dns.com,,,,
Replacement,628846.com,45.249.244.245,,,ns1.dns.com,,,,
Replacement,62z846.com,,,,,,,,
Replacement,62784t.com,,,,,,,,
Replacement,627u46.com,,,,,,,,
Replacement,627i46.com,,,,,,,,
Replacement,6278e6.com,,,,,,,,
Replacement,6q7846.com,,,,,,,,
Replacement,62y846.com,,,,,,,,
Replacement,6w7846.com,,,,,,,,
Replacement,627836.com,103.193.175.224,,,dns1.hichina.com,,,,
Replacement,6z7846.com,,,,,,,,
Replacement,t27846.com,,,,,,,,
Replacement,6a7846.com,,,,,,,,
Replacement,6278r6.com,,,,,,,,
Replacement,62u846.com,,,,,,,,
Replacement,z27846.com,,,,,,,,
Replacement,y27846.com,,,,,,,,
Replacement,617846.com,104.28.10.119,,,kai.ns.cloudflare.com,,,,
Replacement,627746.com,61.4.114.54,,,ns6.dnsdun.com,,,,
Replacement,627845.com,,,,,,,,
Replacement,527846.com,,,,,,,,
Replacement,62784y.com,,,,,,,,
Replacement,62784z.com,,,,,,,,
Subdomain,6.27846.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,,,,
Subdomain,62.7846.com,,,,,,,,
Subdomain,627.846.com,199.59.242.153,,,,,,,
Subdomain,6278.46.com,91.195.240.103,,,,,,,
Subdomain,62784.6.com,,,,,,,,
Transposition,267846.com,45.204.25.215,,,ns53.domaincontrol.com,,,,
Transposition,672846.com,162.209.252.87,,,ns41.domaincontrol.com,,,,
Transposition,628746.com,156.254.34.141,,,ns09.domaincontrol.com,,,,
Transposition,627486.com,198.211.14.149,,,ns1.dns.com,,,,
Transposition,627864.com,,,,,,,,
Various,627846com.com,,,,,,,,
