fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,**.co,104.22.18.122,,alt1.aspmx.l.google.com,gail.ns.cloudflare.com,,,,
Addition,**a.co,,,,,,,,
Addition,**b.co,,,,,,,,
Addition,**c.co,,,,,,,,
Addition,**d.co,,,,,,,,
Addition,**e.co,,,,,,,,
Addition,**f.co,,,,,,,,
Addition,**g.co,,,,,,,,
Addition,**h.co,,,,,,,,
Addition,**i.co,,,,,,,,
Addition,**j.co,,,,,,,,
Addition,**k.co,,,,,,,,
Addition,**l.co,52.58.78.16,,,ns1.dan.com,,,,
Addition,**m.co,,,,,,,,
Addition,**n.co,,,,,,,,
Addition,**o.co,,,,,,,,
Addition,**p.co,,,,,,,,
Addition,**q.co,,,,,,,,
Addition,**r.co,,,alt1.gmr-smtp-in.l.google.com,ns-cloud-e1.googledomains.com,,,,
Addition,**s.co,174.100.97.44,,,lou.ns.cloudflare.com,,,,
Addition,**t.co,,,,,,,,
Addition,**u.co,,,,,,,,
Addition,**v.co,,,,,,,,
Addition,**w.co,,,,,,,,
Addition,**x.co,,,,,,,,
Addition,**y.co,,,,,,,,
Addition,**z.co,,,,,,,,
Bitsquatting,frove.co,,,redirect.ovh.net,dns100.ovh.net,,,,
Bitsquatting,erove.co,,,,,,,,
Bitsquatting,crove.co,50.63.202.58,,,ns33.domaincontrol.com,,,,
Bitsquatting,orove.co,,,,,,,,
Bitsquatting,wrove.co,,,,,,,,
Bitsquatting,gsove.co,,,,,,,,
Bitsquatting,gpove.co,,,,,,,,
Bitsquatting,gvove.co,,,,,,,,
Bitsquatting,gzove.co,,,,,,,,
Bitsquatting,gbove.co,,,,,,,,
Bitsquatting,g2ove.co,,,,,,,,
Bitsquatting,grnve.co,,,,,,,,
Bitsquatting,grmve.co,,,,,,,,
Bitsquatting,grkve.co,,,,,,,,
Bitsquatting,grgve.co,,,,,,,,
Bitsquatting,growe.co,,,,,,,,
Bitsquatting,grote.co,89.31.143.1,,mx00.udag.de,ns.udag.de,,,,
Bitsquatting,grore.co,,,,,,,,
Bitsquatting,grofe.co,,,,,,,,
Bitsquatting,gro6e.co,,,,,,,,
Bitsquatting,grovd.co,,,,,,,,
Bitsquatting,grovg.co,,,,,,,,
Bitsquatting,grova.co,50.63.202.52,,,ns13.domaincontrol.com,,,,
Bitsquatting,grovm.co,,,,,,,,
Bitsquatting,grovu.co,,,,,,,,
Homoglyph,xn--qroe-2l5a.co,,,,,,,,
Homoglyph,xn--rov-2fb70c.co,,,,,,,,
Homoglyph,xn--rove-kqb.co,,,,,,,,
Homoglyph,xn--ove-2ya33k.co,,,,,,,,
Homoglyph,xn--gr0v-3zb.co,,,,,,,,
Homoglyph,xn--rve-c7a27g.co,,,,,,,,
Homoglyph,xn--gov-8la6088a.co,,,,,,,,
Homoglyph,xn--gve-sna8378a.co,,,,,,,,
Homoglyph,xn--roe-gsa6656c.co,,,,,,,,
Homoglyph,xn--rve-gna20k.co,,,,,,,,
Homoglyph,xn--rov-8la57j.co,,,,,,,,
Homoglyph,xn--goe-dlb0635c.co,,,,,,,,
Homoglyph,xn--gve-nya40i.co,,,,,,,,
Homoglyph,xn--ove-gsa43j.co,,,,,,,,
Homoglyph,xn--rovc-9pb.co,,,,,,,,
Homoglyph,xn--rve-wsa5909a.co,,,,,,,,
Homoglyph,xn--ove-wsa4y.co,,,,,,,,
Homoglyph,xn--roe-dub1907a.co,,,,,,,,
Homoglyph,xn--qrov-yva.co,,,,,,,,
Homoglyph,xn--g0ve-5cc.co,,,,,,,,
